method,class,MSE,PSNR,SSIM,Wasserstein,Latent_MSE
amplitude,NORMAL,376.50711137820514,22.94803100420116,0.9007410363489733,5.3736311431623935,5.58540260046918e-34
amplitude,PNEUMONIA,316.20502804487177,23.73530788300933,0.8926799959668501,5.4698717948717945,5.50448679377791e-34
angle,NORMAL,376.50711137820514,22.94803100420116,0.9007410363489733,5.3736311431623935,3.260945589985564e-32
angle,PNEUMONIA,316.20502804487177,23.73530788300933,0.8926799959668501,5.4698717948717945,3.051421490261167e-32
basis,NORMAL,5805.389857104701,10.88747543807583,0.6719121191557604,62.935763888888886,0.11769977198398171
basis,PNEUMONIA,6490.44944911859,10.555224730451753,0.5856133505745854,65.68458533653846,0.131316399631887
dense_angle,NORMAL,376.50711137820514,22.94803100420116,0.9007410363489733,5.3736311431623935,4.724109651114273e-33
dense_angle,PNEUMONIA,316.20502804487177,23.73530788300933,0.8926799959668501,5.4698717948717945,4.6496547632535335e-33
entangled_angle,NORMAL,5497.561197916667,11.064579168416056,0.571475194098246,63.7737045940171,0.03889904367942932
entangled_angle,PNEUMONIA,4798.195813301282,11.852267148654882,0.5900419053399424,58.89851762820513,0.033167592055160365
iqp,NORMAL,6427.3316806891025,10.724680880422822,0.5288782958367606,62.59773971688034,0.2187103494529835
iqp,PNEUMONIA,5978.4254407051285,10.971136959058423,0.485418969488723,59.667427884615385,0.21477525694174615
